Vocabulary,Total Counts,02036_01.pdf,21019.pdf,96001_01.pdf
quorum,1,1,0,0
r.s.b.c.,3,3,0,0
raise,1,1,0,0
raises,1,1,0,0
read,3,3,0,0
reason,1,1,0,0
reasonable,7,2,1,4
reasonably,2,2,0,0
receive,1,1,0,0
received,7,3,1,3
receives,3,3,0,0
receiving,7,5,2,0
recipients,1,0,1,0
recognition,9,1,8,0
recognizance,2,0,0,2
recognized,2,0,2,0
recommendation,2,0,2,0
recommendations,7,6,1,0
reconsider,5,5,0,0
reconsideration,12,12,0,0
record,3,1,2,0
recording,2,0,0,2
records,5,5,0,0
recovered,2,0,0,2
recreational,1,1,0,0
refer,5,5,0,0
reference,9,7,2,0
references,1,1,0,0
referred,27,20,2,5
referring,2,2,0,0
reflect,1,0,1,0
reflects,1,0,1,0
refrain,2,0,0,2
refusal,1,1,0,0
refuse,2,2,0,0
refused,2,2,0,0
refusing,1,1,0,0
regarding,2,0,0,2
region,29,29,0,0
regional,47,47,0,0
regions,6,6,0,0
register,3,3,0,0
registered,2,2,0,0
registrar,13,13,0,0
registration,2,2,0,0
registry,1,1,0,0
regulation,22,13,5,4
regulations,90,68,15,7
reimburse,1,0,1,0
reject,3,3,0,0
related,5,2,0,3
relates,1,0,0,1
relating,1,1,0,0
relation,34,32,2,0
relations,2,1,0,1
released,2,0,0,2
relevant,4,0,4,0
relieve,1,1,0,0
relocated,1,1,0,0
remain,2,2,0,0
remediation,17,17,0,0
removal,8,7,1,0
remove,5,3,2,0
removed,1,1,0,0
removes,1,1,0,0
removing,1,1,0,0
remuneration,6,2,4,0
repairing,1,1,0,0
reparation,1,0,0,1
repealed,24,24,0,0
repeals,1,1,0,0
repeatedly,3,0,0,3
repetition,1,0,0,1
replace,1,1,0,0
replaced,1,1,0,0
report,21,14,5,2
reporting,1,1,0,0
reports,4,2,2,0
representations,1,1,0,0
representatives,2,0,2,0
represented,1,0,0,1
representing,1,1,0,0
represents,1,1,0,0
request,8,7,1,0
requested,2,2,0,0
require,5,1,1,3
required,23,18,2,3
requirement,3,3,0,0
requirements,6,5,0,1
requires,3,3,0,0
requiring,4,3,1,0
rescind,3,3,0,0
reserve,35,35,0,0
residence,44,36,0,8
residences,3,1,0,2
resident,6,6,0,0
residential,28,28,0,0
residents,1,1,0,0
resides,1,0,0,1
resolution,6,6,0,0
resolutions,1,1,0,0
respect,23,20,0,3
respecting,65,51,10,4
responsible,1,1,0,0
restitution,1,0,0,1
restrain,1,0,0,1
restrained,1,0,0,1
restraining,1,1,0,0
restrict,1,1,0,0
restricted,2,0,0,2
restricting,1,0,1,0
restrictions,6,6,0,0
restricts,1,1,0,0
result,4,1,1,2
results,1,1,0,0
retain,5,4,1,0
retained,1,0,1,0
revenue,3,3,0,0
reverse,2,2,0,0
reversed,1,1,0,0
reversing,1,1,0,0
review,17,12,5,0
reviews,2,0,2,0
right,15,10,0,5
rights,12,6,6,0
river,3,3,0,0
road,1,0,0,1
roads,1,1,0,0
rockies,1,1,0,0
royal,1,0,1,0
rsbc,1,0,0,1
rule,1,0,1,0
rules,1,1,0,0
s.b.c.,1,1,0,0
sale,1,1,0,0
same,4,2,1,1
samples,1,1,0,0
satisfactory,2,2,0,0
satisfied,2,2,0,0
sbc,2,1,1,0
scarce,1,1,0,0
schedule,3,3,0,0
second,2,1,0,1
section,255,216,24,15
sections,21,17,3,1
security,5,5,0,0
see,3,1,1,1
select,1,1,0,0
self,2,0,2,0
sensory,1,0,1,0
sent,1,1,0,0
sentencing,2,0,0,2
separate,1,1,0,0
september,1,0,1,0
service,20,4,1,15
services,24,2,1,21
serving,1,1,0,0
set,15,10,1,4
sets,1,0,1,0
setting,3,3,0,0
settlement,33,33,0,0
should,1,0,0,1
showing,2,1,0,1
shown,10,1,0,9
shuswap,3,3,0,0
sidewalk,3,0,0,3
sign,5,0,5,0
similkameen,1,1,0,0
single,1,1,0,0
sited,5,5,0,0
siting,3,3,0,0
size,9,9,0,0
sized,1,1,0,0
skeena,1,1,0,0
sketch,1,0,0,1
so,4,2,0,2
social,2,2,0,0
society,2,0,2,0
soil,24,24,0,0
sold,1,1,0,0
some,3,3,0,0
soon,1,1,0,0
south,5,5,0,0
specialists,2,0,2,0
specific,5,1,2,2
specified,11,9,2,0
specify,1,1,0,0
specifying,7,7,0,0
spent,3,3,0,0
squamish,3,3,0,0
staff,4,4,0,0
stairway,1,0,0,1
standard,13,1,12,0
standards,19,0,19,0
stands,1,0,1,0
stated,1,1,0,0
statement,2,2,0,0
statutory,9,9,0,0
stikine,1,1,0,0
stop,4,4,0,0
stoppages,1,1,0,0
storage,1,1,0,0
strata,11,1,0,10
strategy,1,1,0,0
strathcona,1,1,0,0
structure,17,17,0,0
structures,6,6,0,0
study,1,1,0,0
subdivide,2,2,0,0
subdivided,1,0,0,1
subdivision,22,22,0,0
subject,28,21,6,1
submissions,1,1,0,0
submit,6,4,2,0
submits,1,1,0,0
submitted,5,4,1,0
submitting,2,2,0,0
subsection,128,95,10,23
subsections,1,1,0,0
subsequent,2,1,0,1
substantially,4,4,0,0
substantively,1,1,0,0
such,1,1,0,0
suffered,1,0,0,1
suffers,1,0,0,1
sufficient,1,1,0,0
suitability,1,1,0,0
summary,2,2,0,0
sunshine,1,1,0,0
supervised,1,0,0,1
supervision,1,0,0,1
support,5,0,4,1
supreme,3,2,0,1
sureties,2,0,0,2
surgeons,1,0,0,1
survey,6,3,0,3
surveyor,8,0,0,8
surveys,3,2,0,1
suspend,7,7,0,0
suspended,1,1,0,0
suspension,2,2,0,0
sustainability,2,2,0,0
system,1,0,0,1
table,1,0,1,0
tables,3,1,1,1
take,8,8,0,0
taken,2,2,0,0
takes,6,6,0,0
taking,2,2,0,0
technical,8,0,8,0
telephone,1,0,0,1
temporary,1,0,1,0
tenure,1,1,0,0
term,2,1,1,0
terminating,2,2,0,0
termination,2,1,0,1
terms,16,13,3,0
tests,2,2,0,0
than,38,26,1,11
that,154,123,16,15
the,1407,1133,127,147
their,3,0,0,3
them,3,1,0,2
then,5,5,0,0
there,2,2,0,0
thereafter,1,0,1,0
therefore,1,0,0,1
they,1,0,0,1
thing,1,1,0,0
things,3,2,1,0
this,134,102,18,14
thompson,1,1,0,0
those,23,21,2,0
threatening,1,0,0,1
throughout,1,0,1,0
time,13,9,2,2
title,24,22,0,2
titles,10,10,0,0
to,466,350,58,58
total,4,4,0,0
transferred,3,3,0,0
transitional,2,2,0,0
transportation,1,0,1,0
travelling,1,0,1,0
treasury,1,0,1,0
treated,1,0,0,1
treaty,16,16,0,0
tree,1,0,0,1
trial,1,0,0,1
tribunal,8,5,3,0
tribunals,6,5,1,0
truffles,1,1,0,0
trust,9,9,0,0
type,3,3,0,0
types,7,7,0,0
unconsolidated,1,1,0,0
under,282,228,23,31
undertaking,2,0,0,2
unfinished,2,2,0,0
united,2,0,2,0
universal,2,0,2,0
unless,25,23,0,2
until,9,9,0,0
up,6,3,2,1
update,1,0,1,0
updating,2,0,2,0
use,96,89,0,7
used,7,7,0,0
uses,12,12,0,0
using,3,1,0,2
usual,1,0,0,1
utilities,1,1,0,0
utility,1,0,0,1
v,4,2,2,0
validity,1,1,0,0
valley,3,3,0,0
values,7,7,0,0
vancouver,1,1,0,0
variances,1,0,0,1
variation,1,1,0,0
vary,7,6,0,1
varying,1,1,0,0
verbal,2,0,0,2
vested,2,2,0,0
vi,2,2,0,0
vicariously,1,1,0,0
vice,2,2,0,0
victoria,3,1,1,1
videotape,1,0,0,1
vii,1,1,0,0
viii,1,1,0,0
violating,2,2,0,0
vote,1,1,0,0
waddington,1,1,0,0
waive,1,1,0,0
waiver,3,3,0,0
walls,1,1,0,0
warrant,1,0,0,1
was,13,11,0,2
water,2,2,0,0
way,9,8,0,1
week,4,0,4,0
weight,2,2,0,0
were,7,6,0,1
west,14,14,0,0
what,3,2,1,0
when,2,0,0,2
whenever,1,1,0,0
where,1,0,0,1
whereas,2,0,0,2
whether,8,6,1,1
which,38,22,2,14
while,2,0,0,2
who,33,14,4,15
whole,5,4,1,0
wholly,1,1,0,0
whom,5,3,1,1
whose,1,1,0,0
wide,1,1,0,0
will,10,9,0,1
wish,1,1,0,0
with,106,70,21,15
withdrawn,1,1,0,0
within,36,33,2,1
without,33,18,7,8
witnesses,2,2,0,0
word,1,1,0,0
work,6,6,0,0
would,8,8,0,0
writing,7,6,1,0
written,14,12,0,2
x,1,1,0,0
xi,1,1,0,0
xii,1,1,0,0
year,7,2,4,1
years,3,0,3,0
zone,24,0,0,24
zoned,2,2,0,0
zones,7,0,0,7
©,6,2,2,2
°,22,22,0,0
—,24,0,18,6
’s,3,1,1,1
TOTAL,17118,2715,2806
